city,date,temp_max,temp_min
Houston,2025-06-03,37.796,36.194
Houston,2025-06-04,37.994,36.698
Houston,2025-06-05,38.192,36.392
Houston,2025-06-06,38.3,36.806
Houston,2025-06-07,38.498,36.698
Houston,2025-06-08,38.606,36.698
Houston,2025-06-09,38.192,35.996
Houston,2025-06-10,38.102,36.5
Houston,2025-06-11,37.094,36.194
Houston,2025-06-12,36.896,35.906
Houston,2025-06-13,37.994,36.104
Houston,2025-06-14,38.102,36.5
Houston,2025-06-15,38.192,36.104
Houston,2025-06-16,37.994,36.194
Houston,2025-06-17,38.3,36.5
Houston,2025-06-18,38.3,36.698
Houston,2025-06-19,38.3,36.698
Houston,2025-06-20,38.408,36.698
Houston,2025-06-21,38.408,36.896
Houston,2025-06-22,38.192,36.608
Houston,2025-06-23,38.192,36.608
Houston,2025-06-24,38.408,36.5
Houston,2025-06-25,37.706,36.392
Houston,2025-06-26,38.3,36.392
Houston,2025-06-27,38.192,36.302
Houston,2025-06-28,38.3,36.302
Houston,2025-06-29,38.102,36.392
Houston,2025-06-30,38.192,36.194
Houston,2025-07-01,38.498,36.302
Houston,2025-07-02,38.408,36.5
Houston,2025-07-03,38.192,36.302
Houston,2025-07-04,37.903999999999996,36.302
Houston,2025-07-05,38.192,36.608
Houston,2025-07-06,38.408,36.392
Houston,2025-07-07,38.3,36.608
New York,2025-04-11,33.404,32.792
New York,2025-04-12,32.792,32.396
New York,2025-04-13,34.592,32.702
New York,2025-04-14,35.402,33.602
New York,2025-04-15,35.708,33.602
New York,2025-04-16,33.8,33.206
New York,2025-04-17,35.204,33.008
New York,2025-04-18,35.6,33.602
New York,2025-04-19,37.292,34.196
New York,2025-04-20,36.104,34.304
New York,2025-04-21,34.502,33.8
New York,2025-04-22,37.004,34.106
New York,2025-04-23,36.392,34.196
New York,2025-04-24,36.5,34.394
New York,2025-04-25,36.5,34.808
New York,2025-04-26,36.194,34.106
New York,2025-04-27,34.7,33.602
New York,2025-04-28,36.392,33.908
New York,2025-04-29,36.698,34.394
New York,2025-04-30,36.104,34.7
New York,2025-05-01,35.906,33.998
New York,2025-05-02,37.202,34.502
New York,2025-05-03,37.292,35.096000000000004
New York,2025-05-04,35.708,34.808
New York,2025-05-05,34.898,34.502
New York,2025-05-06,35.204,34.502
New York,2025-05-07,36.194,34.304
New York,2025-05-08,36.608,34.808
New York,2025-05-09,34.808,33.908
New York,2025-05-10,35.996,33.8
New York,2025-05-11,36.5,34.592
New York,2025-05-12,35.996,34.502
New York,2025-05-13,35.708,34.592
New York,2025-05-14,35.006,34.394
New York,2025-05-15,35.708,34.7
New York,2025-05-16,35.996,34.898
New York,2025-05-17,37.004,35.096000000000004
New York,2025-05-18,36.104,34.898
New York,2025-05-19,35.708,33.908
New York,2025-05-20,35.492,33.692
New York,2025-05-21,34.7,33.692
New York,2025-05-22,33.908,33.602
New York,2025-05-23,35.096000000000004,33.494
New York,2025-05-24,35.204,33.602
New York,2025-05-25,35.402,33.998
New York,2025-05-26,36.104,33.998
New York,2025-05-27,36.194,34.502
New York,2025-05-28,35.294,33.998
New York,2025-05-29,35.492,34.304
New York,2025-05-30,36.302,35.006
New York,2025-05-31,35.492,34.106
New York,2025-06-01,35.402,33.8
New York,2025-06-02,35.906,34.106
New York,2025-06-03,36.698,34.394
New York,2025-06-04,37.094,35.006
New York,2025-06-05,37.508,35.798
New York,2025-06-06,37.202,35.906
New York,2025-06-07,36.392,35.402
New York,2025-06-08,36.392,35.096000000000004
New York,2025-06-09,35.204,35.006
New York,2025-06-10,36.104,35.006
New York,2025-06-11,36.896,35.294
New York,2025-06-12,37.508,35.798
New York,2025-06-13,36.608,35.492
New York,2025-06-14,35.6,34.7
New York,2025-06-15,35.204,34.7
New York,2025-06-16,35.708,34.808
New York,2025-06-17,35.492,35.006
New York,2025-06-18,37.202,35.294
New York,2025-06-19,37.598,35.798
New York,2025-06-20,37.004,35.492
New York,2025-06-21,37.4,35.996
New York,2025-06-22,37.598,35.906
New York,2025-06-23,38.408,36.806
New York,2025-06-24,38.696,36.896
New York,2025-06-25,38.408,36.896
New York,2025-06-26,37.292,35.402
New York,2025-06-27,35.996,35.006
New York,2025-06-28,37.094,35.096000000000004
New York,2025-06-29,37.706,36.5
New York,2025-06-30,37.796,35.906
New York,2025-07-01,37.706,35.996
New York,2025-07-02,37.202,35.906
New York,2025-07-03,37.598,35.708
New York,2025-07-04,37.094,35.492
New York,2025-07-05,37.202,35.6
New York,2025-07-06,37.508,35.996
New York,2025-07-07,37.508,36.392
Phoenix,2025-04-11,39.092,35.708
Phoenix,2025-04-12,38.696,35.6
Phoenix,2025-04-13,38.192,35.708
Phoenix,2025-04-14,38.102,35.708
Phoenix,2025-04-15,38.192,35.492
Phoenix,2025-04-16,38.3,35.402
Phoenix,2025-04-17,37.004,35.204
Phoenix,2025-04-18,36.698,34.106
Phoenix,2025-04-19,36.302,34.196
Phoenix,2025-04-20,37.202,34.592
Phoenix,2025-04-21,37.903999999999996,35.096000000000004
Phoenix,2025-04-22,38.3,35.204
Phoenix,2025-04-23,37.903999999999996,35.402
Phoenix,2025-04-24,37.994,35.294
Phoenix,2025-04-25,38.192,35.402
Phoenix,2025-04-26,37.4,35.294
Phoenix,2025-04-27,36.806,35.006
Phoenix,2025-04-28,37.004,34.7
Phoenix,2025-04-29,37.598,35.096000000000004
Phoenix,2025-04-30,37.903999999999996,35.204
Phoenix,2025-05-01,38.192,35.6
Phoenix,2025-05-02,38.192,35.906
Phoenix,2025-05-03,38.498,35.798
Phoenix,2025-05-04,37.094,35.294
Phoenix,2025-05-05,36.194,34.7
Phoenix,2025-05-06,36.5,35.006
Phoenix,2025-05-07,37.4,35.294
Phoenix,2025-05-08,38.3,35.402
Phoenix,2025-05-09,39.2,36.104
Phoenix,2025-05-10,39.092,36.608
Phoenix,2025-05-11,39.2,36.5
Phoenix,2025-05-12,38.894,36.806
Phoenix,2025-05-13,37.796,36.302
Phoenix,2025-05-14,37.202,35.402
Phoenix,2025-05-15,37.706,35.294
Phoenix,2025-05-16,38.192,35.492
Phoenix,2025-05-17,38.3,35.798
Phoenix,2025-05-18,37.4,35.492
Phoenix,2025-05-19,38.192,35.798
Phoenix,2025-05-20,38.696,35.798
Phoenix,2025-05-21,39.002,35.906
Phoenix,2025-05-22,39.398,36.194
Phoenix,2025-05-23,39.092,36.194
Phoenix,2025-05-24,38.804,36.302
Phoenix,2025-05-25,38.606,36.104
Phoenix,2025-05-26,38.804,36.104
Phoenix,2025-05-27,38.894,36.302
Phoenix,2025-05-28,39.092,36.194
Phoenix,2025-05-29,38.894,36.698
Phoenix,2025-05-30,39.2,36.104
Phoenix,2025-05-31,39.002,37.004
Phoenix,2025-06-01,37.903999999999996,35.708
Phoenix,2025-06-02,37.706,35.492
Phoenix,2025-06-03,38.498,36.608
Phoenix,2025-06-04,38.3,36.302
Phoenix,2025-06-05,38.894,36.608
Phoenix,2025-06-06,39.2,36.806
Phoenix,2025-06-07,39.2,36.806
Phoenix,2025-06-08,39.506,36.698
Phoenix,2025-06-09,39.704,36.806
Phoenix,2025-06-10,39.596000000000004,36.896
Phoenix,2025-06-11,39.596000000000004,37.094
Phoenix,2025-06-12,39.596000000000004,37.202
Phoenix,2025-06-13,39.596000000000004,37.004
Phoenix,2025-06-14,39.794,37.004
Phoenix,2025-06-15,40.208,36.896
Phoenix,2025-06-16,40.208,37.094
Phoenix,2025-06-17,39.794,37.4
Phoenix,2025-06-18,40.208,37.094
Phoenix,2025-06-19,40.496,37.292
Phoenix,2025-06-20,39.794,37.202
